x,uncertainty in x,Intensity
-0.002498,2.00000000000027e-06,0.623748351123012
-0.002475,1.25628140703639e-07,0.515260746694476
-0.002447,2.74874371859312e-06,0.367834835108301
-0.002422,2.62311557788948e-06,0.293222588187571
-0.002401,1.50251256281382e-06,0.203827271188842
-0.002378,3.62814070351729e-06,0.119136443033047
-0.002349,2.46231155779167e-07,0.0475534260496206
-0.002325,8.79396984924171e-07,0.0166134607227503
-0.002296,2.99497487437185e-06,0.00574566122568846
-0.002276,2.13065326633158e-06,0.0376347038385748
-0.002245,3.74371859296471e-06,0.107619933361523
-0.002223,6.18090452261105e-07,0.164948026382289
-0.002197,1.4924623115576e-06,0.260939926237514
-0.002175,1.63316582914557e-06,0.404911676604188
-0.002151,2.75879396984934e-06,0.586229884658455
-0.002124,8.84422110552716e-07,0.652071814667954
-0.002098,1.00502512562217e-08,0.776111701748743
-0.002077,4.13567839195952e-06,0.802637096661556
-0.002047,7.38693467336633e-07,0.844607121743264
-0.002025,2.38693467336654e-06,0.832045336930133
-0.001996,1.48743718592992e-06,0.792303707477872
-0.00197,2.36180904522642e-06,0.71185399220651
-0.001952,4.76381909547728e-06,0.620373696921486
-0.001924,1.88944723618074e-06,0.512765972257218
-0.001898,1.01507537688425e-06,0.402845438257536
-0.001877,5.14070351758798e-06,0.242055317086561
-0.001853,6.26633165829154e-06,0.139505166402857
-0.001826,4.39195979899491e-06,0.0615718069444333
-0.001794,2.48241206030151e-06,0.0120851977955069
-0.001767,4.35678391959814e-06,0.0251737339983423
-0.001748,1.76884422110543e-06,0.0210301192209493
-0.001722,8.94472361808937e-07,0.123173346547281
-0.001696,2.01005025126603e-08,0.22022307862344
-0.001669,1.85427135678397e-06,0.298521523724725
-0.001644,1.72864321608033e-06,0.467402288815182
-0.001614,6.60301507537692e-06,0.573877679291245
-0.001594,1.47738693467348e-06,0.716330037306194
-0.001573,2.64824120603004e-06,0.835350155286531
-0.001539,6.22613065326644e-06,0.890448420229634
-0.001523,2.8994974874371e-06,0.913995930460409
-0.001497,2.02512562814082e-06,0.894632375499733
-0.001468,1.84924623115586e-06,0.815862601439787
-0.001444,7.23618090452301e-07,0.730643615067118
-0.001419,5.97989949748879e-07,0.616445638034234
-0.001394,4.7236180904524e-07,0.470476484911722
-0.001373,3.65326633165828e-06,0.355503530638797
-0.001347,2.77889447236179e-06,0.245449679676044
-0.001323,3.90452261306534e-06,0.105944782189328
-0.001292,1.96984924623117e-06,0.0423860414083614
-0.001271,2.15577889447235e-06,0.0138562223491582
-0.001248,4.28140703517582e-06,0.0221856491063348
-0.001217,1.59296482412068e-06,0.0618707436071025
-0.001194,5.32663316582787e-07,0.173622853197209
-0.001172,3.65829145728639e-06,0.234695914059816
-0.001142,1.21608040200998e-06,0.445740692229739
-0.001117,1.09045226130656e-06,0.58854751055146
-0.001092,9.64824120602923e-07,0.68080188019331
-0.001069,1.16080402010055e-06,0.765395227145691
-0.001044,1.28643216080397e-06,0.943975525870502
-0.001019,1.41206030150739e-06,0.947863173042673
-0.000992,4.62311557789018e-07,0.962734966807915
-0.000966,1.33668341708551e-06,0.917777695267669
-0.000938,4.21105527638195e-06,0.828023406652774
-0.000919,1.91457286432162e-06,0.685344231924649
-0.000894,2.04020100502515e-06,0.545620106322302
-0.000867,1.65829145728634e-07,0.491051717939686
-0.000839,2.7085427135678e-06,0.260406421217875
-0.000818,1.41708542713572e-06,0.151288999870405
-0.000789,2.45728643216085e-06,0.0526760421683176
-0.000768,1.66834170854267e-06,0
-0.000743,1.7939698492462e-06,0.00464931113484759
-0.000712,4.0804020100503e-06,0.0555347632207954
-0.000689,1.95477386934673e-06,0.128678717783846
-0.000664,1.8291457286432e-06,0.239477352673805
-0.000641,2.96482412060275e-07,0.453085473415291
-0.000617,1.42211055276383e-06,0.562274590932521
-0.000588,2.45226130653274e-06,0.734836536748228
-0.000562,3.32663316582912e-06,0.863540444070556
-0.000545,4.79899497487439e-06,0.916431559172984
-0.000518,2.92462311557787e-06,0.985774945983111
-0.000491,1.05025125628146e-06,0.993934916657739
-0.000461,3.82412060301508e-06,0.936043772348143
-0.000439,6.98492462311584e-07,0.898702611284167
-0.000411,3.57286432160802e-06,0.761143992627905
-0.000391,1.55276381909547e-06,0.577458332887371
-0.000363,1.32160804020102e-06,0.42414982231014
-0.000341,1.80402010050248e-06,0.258322228850925
-0.000319,4.92964824120603e-06,0.15764161629263
-0.000288,9.44723618090425e-07,0.0421861327945604
-0.000264,1.80904522613075e-07,0.0287422921418219
-0.000241,2.30653266331657e-06,0.0142802680770185
-0.000215,1.43216080402008e-06,0.0762893287136455
-0.00019,1.55778894472364e-06,0.112644132665473
-0.000162,1.31658291457285e-06,0.271132309216292
-0.000141,2.80904522613067e-06,0.453608509327683
-0.000112,1.06532663316583e-06,0.53723698963579
-8.9e-05,1.06030150753768e-06,0.732907644927675
-6.3e-05,1.859296482412e-07,0.833750558568566
-4e-05,2.31155778894472e-06,0.974699319851701
-1.5e-05,2.43718592964824e-06,0.99202975875944
1.1e-05,1.56281407035176e-06,1.03317393512322
3.5e-05,2.68844221105528e-06,0.934435029274071
